iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3495440.828192711,2.912867356827259,-2.912867260877656,1747742.9609439098
1,6370299.935187323,5.308583279322769,-5.308583093899499,3185117.0951038236
2,6370299.935187323,5.308583279322769,-5.308583093899499,3185117.0951038236
