iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3502631.7565775285,2.9188597971479404,-2.9188597491727917,-2.9188450457102975
1,171215.6816593504,0.14267973471612533,-0.142239575261471,-0.17347308868656414
2,-116846.98579092452,-0.09737248815910376,0.10558419900153027,0.04144555417832457
3,-177599.70144562202,-0.147999751204685,0.15791521212601922,0.08501132739280264
4,-283244.6326981957,-0.2360371939151631,0.2496931965314495,0.12464425593061813
5,-373629.60384889727,-0.3113580032074144,0.33046580456514246,0.21284568124062506
6,-468346.7126533109,-0.39028892721109243,0.41456836498934085,0.2882606959014974
7,-530168.3087171392,-0.44180692393094934,0.4726131035445589,0.37715641619828916
8,-565154.3598131347,-0.4709619665109455,0.5051398454479559,0.40695280796174155
9,-597548.4618510425,-0.4979570515425354,0.5370192275045633,0.4318654677957623
10,-608581.2119274882,-0.5071510099395735,0.5477609449623931,0.4394400760212628
11,-616270.2088211995,-0.5135585073509996,0.5552283808102925,0.44439071729964114
12,-619379.220928643,-0.5161493507738691,0.5582510764201541,0.45046115536252473
13,-620837.8713883851,-0.5173648928236543,0.5597374345240989,0.45718360325613794
14,-621334.462729252,-0.5177787189410433,0.5603136097408739,0.46155069804656806
15,-621740.9303546873,-0.5181174419622394,0.5607402205168807,0.4654994624029455
16,-621960.8700096816,-0.518300725008068,0.5609266213369705,0.4669617130593976
17,-621996.980672298,-0.518330817226915,0.5609823680394738,0.46826771516925725
18,-622068.050135234,-0.5183900417793617,0.5610582866699703,0.4694451386876441
19,-622079.0390782325,-0.5183991992318604,0.5610896052615101,0.4696561782125764
20,-622086.3369494649,-0.5184052807912207,0.5611156656756271,0.4697781389591894
