iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3503989.76377966,2.9199914698163836,-2.9199914218255265,-2.920028222201655
1,137527.49170178434,0.11460624308482029,-0.11389748950883387,-0.12124194324049732
2,-375916.66804044414,-0.3132638900337035,0.3446064829560543,0.3412968160107179
3,-468777.33584524476,-0.39064777987103727,0.43633222723533266,0.4283737110704298
4,-494972.59280092386,-0.41247716066743656,0.45801153607195594,0.44690369802327323
5,-523767.3410854237,-0.4364727842378531,0.48156779187226223,0.4699605240773342
6,-565484.3136961401,-0.47123692808011675,0.5165789422749854,0.5041785771245358
7,-601659.9293896623,-0.5013832744913853,0.54737064351041,0.536288049756774
8,-629798.7089969012,-0.5248322574974177,0.5715646031706235,0.5601850440775322
9,-649121.3144121014,-0.5409344286767511,0.5881340282740349,0.5775744136795525
10,-663245.32697411,-0.5527044391450916,0.6007431746091688,0.5893153436858494
11,-670098.0470119723,-0.5584150391766436,0.6073841452636339,0.595554871197326
12,-671940.693917212,-0.5599505782643432,0.6090052394147997,0.5970821020104747
13,-673839.3195483227,-0.5615327662902689,0.610787688436274,0.5981910626056303
14,-675356.8235309558,-0.5627973529424631,0.6122233877514918,0.5988479745576665
15,-676247.1040624955,-0.5635392533854129,0.6130529926959409,0.5993931454079402
16,-676740.2524581238,-0.5639502103817698,0.613609610092578,0.5997552025864518
17,-676926.3250838142,-0.5641052709031785,0.613777976590209,0.5997881780623853
18,-677026.7796404182,-0.5641889830336819,0.6139011841479889,0.5999809853825586
19,-677128.4431806308,-0.5642737026505257,0.6140117133599712,0.6000748073591394
20,-677253.5251700422,-0.5643779376417019,0.614139759455339,0.599686761572644
