iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3500461.350651919,2.917051125543266,-2.917051029617054,-2.917091557522599
1,119461.6037162963,0.09955133643024693,-0.09857034000410153,-0.10323817074847016
2,-544565.3563419017,-0.45380446361825144,0.49059468707474635,0.4841888603830714
3,-674663.5454067722,-0.5622196211723102,0.6097756678783964,0.6018571894835387
4,-727831.4566607418,-0.6065262138839516,0.65648883739316,0.6482923129358916
5,-757731.386836875,-0.6314428223640625,0.6827254972069945,0.6749370996338593
6,-785217.5847634705,-0.654347987302892,0.7073405418658888,0.6985871551398096
7,-803168.8214009849,-0.6693073511674874,0.72371757776485,0.7159093763067934
8,-813844.8605561714,-0.6782040504634762,0.7331046165905131,0.724286121665193
9,-823055.7192516014,-0.6858797660430012,0.7414901743721205,0.7313697599045496
10,-828888.3806718764,-0.6907403172265636,0.7472277096486593,0.7360637495189366
11,-835240.3813459037,-0.6960336511215864,0.7530990265758378,0.7401440741040214
12,-840654.1460830169,-0.7005451217358474,0.7579896356394066,0.7438203539786897
13,-845256.9388088009,-0.7043807823406674,0.7622561699488385,0.7469090597432613
14,-848796.9885287164,-0.7073308237739303,0.7656157650383775,0.7496948881656116
15,-851822.8429402912,-0.7098523691169093,0.7684750216095987,0.7525265007180234
16,-853022.1510886576,-0.7108517925738813,0.7697595982003992,0.7539540841728828
17,-854080.702648018,-0.7117339188733484,0.770768904694525,0.7546100353643421
18,-854439.851709808,-0.7120332097581733,0.771121897876123,0.7553799995433624
19,-854737.5508108768,-0.7122812923423973,0.7713991929621241,0.7558783496120401
20,-854838.4184227441,-0.7123653486856201,0.7714839206093319,0.7560236877712968
