iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3490786.2300349725,2.9089885250291436,-2.90898842911846,-2.908940371305764
1,122511.19858731137,0.10209266548942615,-0.10169749701781235,-0.10589562804898807
2,-545150.0333639502,-0.4542916944699585,0.4882717339990359,0.4702931478055835
3,-675324.209011903,-0.5627701741765858,0.6111485011738012,0.5927401423654092
4,-719723.3129585427,-0.5997694274654523,0.650092472658471,0.6297312345699112
5,-739731.5253525279,-0.6164429377937732,0.6676279084282827,0.6475966822702311
6,-757975.0165129198,-0.6316458470940999,0.6832592582140484,0.6629284375530008
7,-774815.2800423808,-0.6456794000353173,0.6977274583052923,0.6788750222885971
8,-789467.303994983,-0.6578894199958192,0.7104859898625722,0.6938635492115093
9,-799689.0431467958,-0.6664075359556632,0.719601394619563,0.7033907360931573
10,-804250.5491048136,-0.670208790920678,0.7236214478334575,0.7062938002116315
11,-806711.9626228621,-0.672259968852385,0.7257932713446399,0.7079191072609953
12,-812394.331366796,-0.6769952761389967,0.7316415509096544,0.7132122671782097
13,-817549.4840806593,-0.6812912367338828,0.7369523749455111,0.7186057027058597
14,-819565.2570687277,-0.6829710475572731,0.739093445270946,0.720414802304854
15,-819993.5995905725,-0.6833279996588104,0.7395259519803153,0.7210342526001743
16,-820563.8893962002,-0.6838032411635001,0.7400586621801857,0.7213275001690503
17,-821146.3343765786,-0.6842886119804822,0.7405683772630683,0.7216709174219115
18,-821528.0085374292,-0.684606673781191,0.7410197621197575,0.7219142839567629
19,-821886.052160227,-0.6849050434668558,0.7413412089315897,0.7223636843268723
20,-822303.833121298,-0.6852531942677483,0.7417438220179283,0.722450496250002
