iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3495440.828192711,2.912867356827259,-2.912867260877656,-2.9129049349065164
1,144653.0874757896,0.12054423956315799,-0.1200945745508084,-0.1232258603142824
2,-484637.69162512006,-0.4038647430209334,0.4390095312699268,0.4245834153583279
3,-589413.8623900381,-0.4911782186583651,0.5390196012773912,0.5262168322746833
4,-657785.4822320458,-0.5481545685267049,0.5967478349488133,0.5874481760332514
5,-714103.7782709724,-0.595086481892477,0.6447033508659806,0.6382834416170688
6,-746492.2691336628,-0.622076890944719,0.6726011337200506,0.6637064554159708
7,-762494.8641395485,-0.6354123867829571,0.6867276973007419,0.6756362621331099
8,-768311.739052405,-0.6402597825436709,0.6918424524583803,0.6796227247498811
9,-771039.2342631418,-0.6425326952192848,0.6942683438331855,0.6809846288191482
10,-772961.1241911113,-0.6441342701592594,0.696024461935713,0.6823637440534575
11,-773927.8038003735,-0.6449398365003112,0.6969086922376725,0.6827407681426043
12,-774168.0982116882,-0.6451400818430735,0.6971114877679226,0.6824061113873483
13,-774350.4303227271,-0.6452920252689393,0.6972940247978726,0.6824322917109593
14,-774390.2575911108,-0.645325214659259,0.6973574379822961,0.6824900819686385
15,-774460.9188334194,-0.6453840990278495,0.6974142818683018,0.6824768350639355
16,-774558.0522624219,-0.6454650435520183,0.6974970427673068,0.6824659885435211
17,-774696.4071952133,-0.6455803393293443,0.6976238167258214,0.6822897126308112
18,-774743.587745195,-0.6456196564543292,0.6976469148260176,0.6821721167098782
19,-774745.7817610177,-0.6456214848008481,0.697644984180784,0.6821241416536766
20,-774745.9473179692,-0.6456216227649743,0.6976457879821926,0.6821168541630237
