iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3495982.456725083,2.913318713937569,-2.9133186659849373,-2.9132618692754497
1,214103.005875823,0.17841917156318585,-0.17810335234810684,-0.18789746525673323
2,-312737.6047357907,-0.2606146706131589,0.2806328445317543,0.27138569359849674
3,-439589.4213458429,-0.3663245177882024,0.4128614541766477,0.40095434856424533
4,-449093.33137609315,-0.37424444281341096,0.4209801550220405,0.40923709278517384
5,-454818.66576072294,-0.37901555480060245,0.42539544622936837,0.4144553957685238
6,-459475.6346744868,-0.382896362228739,0.42939379841026026,0.41873713549348185
7,-467469.0092408779,-0.38955750770073155,0.4363696238656899,0.42494145204430395
8,-478210.05056873604,-0.3985083754739467,0.4466279987647027,0.43426354341702306
9,-484933.06448704924,-0.40411088707254106,0.45253082772901804,0.43942357372828217
10,-491990.2378908328,-0.40999186490902734,0.45883804362302066,0.4444848226124992
11,-497492.38307488145,-0.41457698589573455,0.46419909197794146,0.4489533731710546
12,-500517.41338681534,-0.41709784448901277,0.4667635450694157,0.45147104688523143
13,-503869.70542658883,-0.419891421188824,0.4696919151839158,0.4544935593771723
14,-508121.4631523807,-0.42343455262698393,0.4732403111394056,0.4572247421563225
15,-511932.57711989625,-0.4266104809332469,0.4763904037281256,0.45810364136288095
16,-514475.287631211,-0.4287294063593425,0.4784692837948359,0.45829480900509884
17,-517688.9832869384,-0.43140748607244866,0.48110566708407,0.45960908426537933
18,-522359.52858932596,-0.4352996071577716,0.48482801184080454,0.46189476896458836
19,-528892.1996300876,-0.44074349969173965,0.49018809771559785,0.464747544282428
20,-538781.4626212053,-0.4489845521843377,0.49832572575308715,0.47201942672918223
