iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3495541.7082563597,2.9129514235469665,-2.9129512317034414,-2.9129699879226663
1,103268.27212945007,0.08605689344120838,-0.08508398490451585,-0.08684501516796159
2,-653310.248400056,-0.5444252070000467,0.586691963602298,0.575938343679072
3,-788083.0990456981,-0.656735915871415,0.7075569858947924,0.6936482460637758
4,-836157.5926045021,-0.6967979938370851,0.7493803481878231,0.7289719347202303
5,-855927.3682541425,-0.7132728068784521,0.7669705129751783,0.7438554694282349
6,-872333.4407092992,-0.7269445339244159,0.7814081191449787,0.7555622458120742
7,-882662.418793282,-0.7355520156610683,0.7905228681807425,0.7614114409866796
8,-891381.9599408454,-0.7428182999507045,0.7980243828121436,0.7682567331464205
9,-902650.1219480613,-0.7522084349567177,0.8086136931278181,0.7792635946337569
10,-908386.5435241429,-0.7569887862701191,0.8139243879642822,0.7843377537594294
11,-912047.1585338975,-0.7600392987782479,0.8172961174591593,0.7867680330406799
12,-913622.2693263063,-0.7613518911052553,0.8187972999611699,0.7878669508743124
13,-914994.2104433253,-0.7624951753694378,0.8199656620862941,0.787886604904289
14,-916512.3414531987,-0.7637602845443322,0.8212572507487483,0.7888825758812374
15,-917550.9084982853,-0.7646257570819045,0.8222034569525937,0.7897519286060194
16,-918138.1183216388,-0.7651150986013656,0.8227241760536096,0.7902981667243738
17,-918801.509447521,-0.7656679245396008,0.8233374627972729,0.7907619206469827
18,-919647.8341285745,-0.7663731951071454,0.8240515473802396,0.7912118512262647
19,-920430.38198298,-0.76702531831915,0.8247350515702385,0.7918028736366606
20,-920960.2463111882,-0.7674668719259902,0.8251757959349997,0.7920252380000901
